id,date,dayOfWeek,artist,city,state,venue,attendedWith,hasPoster,setlistLink,tourName,openingActs,notes
90,2024-05-18,Saturday,Sonic Temple Festival,Columbus,OH,Historic Crew Stadium,William Baroniunas,Yes,https://www.setlist.fm/search?query=Sonic+Temple+Festival+05%2F16%2F2024,Sonic Temple 2024,"Pantera, Staind, Breaking Benjamin, Starset, Living Colour, Saint Asonia, Flat Black, Sleep Token, In This Moment, Flyleaf with Lacey Sturm, Kittie, Destroy Boys, Calva Louise, VUKOVI, Polyphia, The Amity Affliction, Currents, Spite, Bodysnatcher, Thrown, Dying Wish, Slaughter to Prevail, In Flames, Lacuna Coil, Harm's Way, Empire State Bastard, Imminence, Mike's Dead",
91,2024-05-19,Sunday,Sonic Temple Festival,Columbus,OH,Historic Crew Stadium,William Baroniunas,Yes,https://www.setlist.fm/search?query=Sonic+Temple+Festival+05%2F16%2F2024,Sonic Temple 2024,"Slipknot, Limp Bizkit, A Day to Remember, Royal Blood, Bad Religion, Saliva, Sleep Theory, 311, Architects, Wage War, Of Mice & Men, Reignwolf, Kim Dracula, Blind Channel, Clutch, Baroness, Helmet, Red Fang, Crobot, Plush, Moon Fever, Return to Dust, Tech N9ne, L7, While She Sleeps, Taproot, Bad Nerves, Dead Poet Society, Eva Under Fire",
92,2024-06-26,Wednesday,Red Hot Chili Peppers,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,"Josh Rife, William Baroniunas",Yes,https://www.setlist.fm/setlist/red-hot-chili-peppers/2024/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-13aba105.html,Unlimited Love Tour,IRONTOM,
93,2024-08-27,Tuesday,Bush,Raleigh,NC,Red Hat Amphitheater,William Baroniunas,No,https://www.setlist.fm/setlist/bush/2024/red-hat-amphitheater-raleigh-nc-63571a17.html,Loaded: The Greatest Hits 1994-2023 Tour,"Jerry Cantrell, Candlebox",
94,2024-09-02,Monday,Stone Temple Pilots,Raleigh,NC,Red Hat Amphitheater,William Baroniunas,No,https://www.setlist.fm/setlist/stone-temple-pilots/2024/red-hat-amphitheater-raleigh-nc-355a1e7.html,Jubilee Tour,"LIVE (co-headline), Soul Asylum",Co-headline tour with Live.
95,2024-09-18,Wednesday,Creed,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,William Baroniunas,No,https://www.setlist.fm/setlist/creed/2024/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-2ba8582e.html,Summer of '99 Tour,"3 Doors Down, Finger Eleven",
96,2025-03-24,Monday,Deftones,Charlotte,NC,Spectrum Center,Josh Rife,No,https://www.setlist.fm/setlist/deftones/2025/spectrum-center-charlotte-nc-6b53eed2.html,2025 North American Tour,The Mars Volta,
97,2025-05-06,Tuesday,Linkin Park,Raleigh,NC,Lenovo Center,"Josh Rife, William Baroniunas",Yes,https://www.setlist.fm/setlist/linkin-park/2025/lenovo-center-raleigh-nc-35ef1bb.html,From Zero World Tour,Jean Dawson,
98,2025-05-13,Tuesday,Pearl Jam,Raleigh,NC,Lenovo Center,William Baroniunas,Yes,https://www.setlist.fm/setlist/pearl-jam/2025/lenovo-center-raleigh-nc-2b5fcc02.html,Dark Matter World Tour,Teen Jesus and the Jean Teaser,
99,2025-05-31,Saturday,Metallica,Charlotte,NC,Bank of America Stadium,"Josh Rife, William Baroniunas",Yes,https://www.setlist.fm/setlist/metallica/2025/bank-of-america-stadium-charlotte-nc-2353d8e3.html,M72 World Tour,"Pantera, Suicidal Tendencies",
100,2025-07-15,Tuesday,Ghost,Raleigh,NC,Lenovo Center,Lily Kahn,No,https://www.setlist.fm/setlist/ghost/2025/lenovo-center-raleigh-nc-2351d8bb.html,Skeletour World Tour,,
101,2025-07-29,Tuesday,Foreigner,Durham,NC,DPAC,William Baroniunas,No,https://www.setlist.fm/setlist/foreigner/2025/durham-performing-arts-center-durham-nc-73427609.html,The Historic Farewell Tour,,
102,2025-08-21,Thursday,Shinedown,Raleigh,NC,Lenovo Center,Lily Kahn,No,https://www.setlist.fm/setlist/shinedown/2025/lenovo-center-raleigh-nc-535d0ff5.html,"Dance, Kid, Dance Tour","Bush, Morgan Wade",
103,2025-08-27,Wednesday,System of a Down,East Rutherford,NJ,Metlife Stadium,Josh Rife,Yes,https://www.setlist.fm/setlist/system-of-a-down/2025/metlife-stadium-east-rutherford-nj-6b5f023a.html,Wake Up! Tour,"Wisp, Polyphia, Korn",
104,2025-09-05,Friday,NIN,Raleigh,NC,Lenovo Center,"Josh Rife, William Baroniunas",Yes,https://www.setlist.fm/setlist/nine-inch-nails/2025/lenovo-center-raleigh-nc-135d0141.html,Peel It Back Tour,Boys Noize,
105,2025-09-11,Thursday,Adam Sandler,Raleigh,NC,Lenovo Center,Dana Kahn,No,https://www.setlist.fm/setlist/adam-sandler/2025/lenovo-center-raleigh-nc-73458e75.html,You're My Best Friend Tour,Rob Schneider (opening comedian),
106,2025-10-25,Saturday,Pierce the Veil,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,Josh Rife,No,https://www.setlist.fm/setlist/pierce-the-veil/2025/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-4b59af5e.html,I Can't Hear You Tour,"Health (co-billed), Daycare, Destroy Boys",Co-headline tour with Health.
107,2025-11-04,Tuesday,The Mars Volta,Raleigh,NC,The Ritz,Josh Rife,No,https://www.setlist.fm/setlist/the-mars-volta/2025/the-ritz-raleigh-nc-2b593086.html,Lucro Sucio: Los Ojos del Vacio Tour,Teri Gender Bender,
108,2026-02-10,Tuesday,Nine Inch Nails,Charlotte,NC,Spectrum Center,William Baroniunas,No,https://www.setlist.fm/setlist/nine-inch-nails/2026/spectrum-center-charlotte-nc-34109bf.html,Peel It Back Tour,Boys Noize,
109,2026-03-07,Saturday,Candlebox,Danville,VA,The Pantheon at Caesars Virginia,William Baroniunas,No,https://www.setlist.fm/setlist/candlebox/2026/the-pantheon-at-caesars-virginia-danville-va-43482fbb.html,Can't Quit You Tour 2026,Nick Brown,
110,2026-03-16,Monday,Bad Omens,Raleigh,NC,Lenovo Center,Josh Rife,No,https://www.setlist.fm/setlist/bad-omens/2026/lenovo-center-raleigh-nc-1b4e5524.html,Do You Feel Love Tour,"Beartooth, President",
111,2026-04-01,Wednesday,Puscifer,Durham,NC,DPAC,Josh Rife,Yes,https://www.setlist.fm/setlist/puscifer/2026/durham-performing-arts-center-durham-nc-634e2ab7.html,Normal Isn't Tour,Dave Hill (with Puddles Pity Party guest appearance),
112,2026-04-17,Friday,AVTT/PTTN,Greensboro,NC,Steven Tanger Center for the Performing Arts,William Baroniunas,Yes,https://www.setlist.fm/setlist/avttpttn/2026/steven-tanger-center-for-the-performing-arts-greensboro-nc-34f0193.html,AVVT/PTTN Tour,,
